id,fea_1,fea_2,fea_3,fea_4,fea_5,fea_6,fea_7,fea_8,fea_9,fea_10,fea_11,OVD_t1,OVD_t2,OVD_t3,OVD_sum,pay_normal,prod_code,prod_limit,new_balance,highest_balance
58990727,7,1469.0,3,103000.0,2,11,5,71,5,60092,1.0,0,0,0,0,27,10,5500.0,0.0,219202.72592781534
54988117,7,1346.0,1,148000.0,2,11,5,105,3,350000,244.94897430000003,0,0,0,0,5,6,85789.7012195122,6000.0,15500.0
54984182,5,1282.0,3,144000.0,2,15,5,68,1,60057,1.0,0,0,0,0,12,10,85789.7012195122,79494.0,71488.0
58986298,5,1286.1657435613404,2,116000.0,2,15,5,110,4,510037,214.8441295,0,0,0,0,6,6,85789.7012195122,0.0,9900.0
59004571,4,1241.0,1,115000.0,2,8,5,105,3,151300,221.3594362,0,0,0,0,1,10,44000.0,34393.2,40045.0
58994117,7,1324.0,1,122000.0,2,11,5,86,3,151300,1.0,0,0,0,0,36,10,85789.7012195122,43306.8,42759.0
58987491,5,1241.0,3,84000.0,2,15,5,87,3,60074,1.0,0,0,0,0,19,13,85789.7012195122,0.0,45500.0
58997422,4,1248.0,3,50000.0,2,8,-1,100,3,332345,387.2983346,0,0,0,0,31,10,13200.0,7135.2,45782.0
59000044,7,1286.1657435613404,2,51000.0,2,11,5,112,4,72015,170.29386369999995,0,2,5,800,29,10,85789.7012195122,0.0,35657.0
58990154,7,1262.0,3,100000.0,2,11,5,113,4,450071,210.9573417,0,0,0,0,23,13,85789.7012195122,0.0,38500.0
54987829,7,1320.0,1,102000.0,2,11,5,110,3,151300,200.0,0,0,0,0,7,2,85789.7012195122,0.0,470500.0
58993212,7,1324.0,1,117000.0,2,11,9,112,4,550001,230.2172887,0,0,0,0,9,0,85789.7012195122,0.0,3250.0
59002231,4,1354.0,3,125000.0,2,8,9,107,5,60093,1.0,0,0,0,0,32,1,85789.7012195122,61034.4,265500.0
58990934,7,1262.0,3,151000.0,2,11,5,114,4,510102,251.968252,0,0,0,0,12,10,85789.7012195122,0.0,134379.0
58990663,7,1314.0,3,150000.0,2,11,10,113,4,60023,187.08286930000003,0,0,0,0,36,12,85789.7012195122,0.0,107856.0
58982668,5,1316.0,3,500000.0,2,15,5,104,5,72000,316.22776600000003,0,0,0,0,5,10,137500.0,0.0,2908.0
54983353,5,1224.0,3,56000.0,2,15,5,113,4,151307,1.0,0,0,0,0,22,10,85789.7012195122,25990.8,22585.0
54986429,7,1326.0,3,208000.0,2,11,5,105,4,510070,279.6640842,0,0,0,0,36,10,45100.0,37776.0,40500.0
59003950,4,1264.0,1,102000.0,2,8,9,103,3,60024,200.0,0,0,0,0,35,10,85789.7012195122,1222.8,10970.0
58991343,7,1358.0,3,500000.0,2,11,2,112,5,510000,316.22776600000003,0,0,0,0,12,10,85789.7012195122,295.2,219202.72592781534
58993548,7,1230.0,3,114000.0,2,11,5,112,4,72000,254.9509757,0,0,0,0,9,10,33000.0,30992.4,33515.0
58989550,7,1283.0,3,67000.0,2,11,5,114,4,60026,200.0,0,0,0,0,2,10,85789.7012195122,0.0,41928.0
58989270,7,1362.0,1,150000.0,2,11,-1,90,5,350020,316.22776600000003,0,0,0,0,0,10,85789.7012195122,0.0,219202.72592781534
54988464,7,1286.1657435613404,2,255000.0,2,11,5,99,3,60058,223.6067977,0,0,0,0,36,10,85789.7012195122,15855.6,43185.0
58997607,4,1268.0,1,118000.0,2,8,-1,95,3,330006,1.0,0,0,0,0,0,10,85789.7012195122,0.0,902720.0
58989284,7,1248.0,3,146000.0,2,11,10,105,5,350704,339.9441131,0,0,16,6400,1,5,85789.7012195122,0.0,60500.0
58993992,7,1266.0,3,89000.0,2,11,5,89,3,60091,1.0,0,0,0,0,1,10,85789.7012195122,18000.0,15500.0
59002945,4,1260.0,3,74000.0,2,8,5,113,4,151300,1.0,0,0,0,0,3,5,85789.7012195122,0.0,100500.0
59004540,4,1286.1657435613404,2,34000.0,2,8,5,100,5,72049,163.29421299999998,0,0,0,0,1,10,13200.0,0.0,219202.72592781534
58994346,7,1298.0,1,100000.0,2,11,9,112,4,552104,178.8854382,0,0,0,0,36,10,85789.7012195122,0.0,68993.0
58990737,7,1242.0,3,71000.0,1,11,5,108,5,60005,173.20508080000002,0,0,0,0,4,3,85789.7012195122,1868848.8,1600500.0
58990628,7,1336.0,3,150000.0,2,11,9,105,5,350050,412.3105626,0,0,0,0,34,2,85789.7012195122,181731.6,160500.0
58984430,5,1316.0,3,147000.0,2,15,9,105,5,361029,173.20508080000002,0,0,0,0,2,10,55000.0,41737.2,51205.0
58989576,7,1272.0,3,119000.0,2,11,5,82,5,60068,202.4845673,0,0,0,0,35,10,85789.7012195122,1604.4,10702.0
54984903,5,1372.0,3,83000.0,2,15,5,95,3,350704,165.6653253,0,0,0,0,20,10,85789.7012195122,0.0,14467.0
54990331,4,1314.0,1,177000.0,2,8,-1,112,5,60000,200.0,0,0,0,0,2,10,194700.0,-25.2,8228.0
58996882,7,1234.0,3,59000.0,2,11,5,91,3,450052,387.2983346,0,0,0,0,9,13,85789.7012195122,39526.8,46500.0
54985832,7,1308.0,3,500000.0,2,11,9,85,5,60001,387.2983346,0,0,0,0,7,1,85789.7012195122,1295624.4,1200400.0
58997840,4,1286.1657435613404,2,90000.0,2,8,5,113,4,151307,189.5837546,0,0,0,0,17,10,22000.0,21115.2,21274.0
58993548,7,1230.0,3,114000.0,2,11,5,112,4,72000,254.9509757,0,0,0,0,7,1,85789.7012195122,642751.2,600500.0
54982721,5,1286.1657435613404,2,90000.0,2,15,5,92,5,72014,1.0,0,0,0,0,36,10,85789.7012195122,0.0,32565.0
58990112,7,1290.0,1,99000.0,2,11,-1,110,5,450062,200.0,0,0,0,0,11,6,85789.7012195122,0.0,36100.0
58987276,5,1286.1657435613404,3,50000.0,2,15,9,110,5,450080,194.9358869,0,0,0,0,5,5,85789.7012195122,0.0,255500.0
58995303,7,1304.0,1,113000.0,2,11,9,112,4,350078,264.5751311,1,0,0,30,5,2,85789.7012195122,2411205.6,2026623.0
54991492,4,1256.0,1,120000.0,2,8,5,99,4,151000,173.20508080000002,0,0,0,0,13,10,85789.7012195122,30696.0,31803.0
